------------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                               CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
view                                                4.627us          1.709us                1          4.627us          1.709us
EmbeddingBackward                                 544.899us        461.426us                1        544.899us        461.426us
embedding_backward                                541.301us        458.008us                1        541.301us        458.008us
embedding_dense_backward                          537.702us        454.590us                1        537.702us        454.590us
add                                                10.281us        622.803us                1         10.281us        622.803us
struct torch::autograd::AccumulateGrad             16.450us        434.082us                1         16.450us        434.082us
clone                                              12.337us        430.664us                1         12.337us        430.664us
add_                                               22.618us        629.883us                1         22.618us        629.883us
add_                                               19.020us         51.025us                1         19.020us         51.025us
add_                                                8.225us          7.324us                1          8.225us          7.324us
